CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,engagement_score,login_frequency,purchase_count,support_tickets,previous_campaign_response,treatment,outcome,Geography_Germany,Geography_Spain
619,0,42,2,0.0,1,1,1,101348.88,61,4,14,3,1,1,1,0,0
608,0,41,1,83807.86,1,0,1,112542.58,24,1,11,4,1,1,1,0,1
502,0,42,8,159660.8,3,1,0,113931.57,81,1,13,3,1,1,0,0,0
699,0,39,1,0.0,2,0,0,93826.63,70,10,17,3,1,0,1,0,0
850,0,43,2,125510.82,1,1,1,79084.1,30,1,19,4,0,1,0,0,1
645,1,44,8,113755.78,2,1,0,149756.71,92,7,5,2,0,0,1,0,1
822,1,50,7,0.0,2,1,1,10062.8,96,7,3,0,1,1,1,0,0
376,0,29,4,115046.74,4,1,0,119346.88,84,4,11,3,1,0,0,1,0
501,1,44,4,142051.07,2,0,1,74940.5,84,13,12,0,0,0,1,0,0
684,1,27,2,134603.88,1,1,1,71725.73,97,12,18,1,0,0,1,0,0
528,1,31,6,102016.72,2,0,0,80181.12,33,2,12,2,1,1,1,0,0
497,1,24,3,0.0,2,1,0,76390.01,12,12,11,7,1,1,1,0,1
476,0,34,10,0.0,2,1,0,26260.98,31,3,19,5,1,0,1,0,0
549,0,25,5,0.0,2,0,0,190857.79,62,8,2,3,0,0,0,0,0
635,0,35,7,0.0,2,1,1,65951.65,11,13,2,6,1,0,0,0,1
616,1,45,3,143129.41,2,0,1,64327.26,97,8,13,2,1,0,1,1,0
653,1,58,1,132602.88,1,1,0,5097.67,39,11,17,4,1,0,1,1,0
549,0,24,9,0.0,2,1,1,14406.41,47,11,18,4,1,1,1,0,1
587,1,45,6,0.0,1,0,0,158684.81,11,6,9,5,0,1,0,0,1
726,0,24,6,0.0,2,1,1,54724.03,73,10,16,1,1,1,1,0,0
732,1,41,8,0.0,2,1,1,170886.17,69,9,14,3,1,0,1,0,0
636,0,32,8,0.0,2,1,0,138555.46,30,11,18,4,1,1,1,0,1
510,0,38,4,0.0,1,1,0,118913.53,42,12,8,2,1,0,0,0,1
669,1,46,3,0.0,2,0,1,8487.75,85,9,3,2,1,0,1,0,0
846,0,38,5,0.0,1,1,1,187616.16,67,4,14,2,0,0,1,0,0
577,1,25,3,0.0,2,0,1,124508.29,31,12,18,5,1,1,0,0,0
756,1,36,2,136815.64,1,1,1,170041.95,98,1,15,1,1,1,1,1,0
571,1,44,9,0.0,2,0,0,38433.35,58,1,7,2,0,1,1,0,0
574,0,43,3,141349.43,1,1,1,100187.43,68,12,16,0,0,0,1,1,0
411,1,29,0,59697.17,2,1,1,53483.21,51,10,0,4,1,1,1,0,0
591,0,39,3,0.0,3,1,0,140469.38,69,5,6,3,1,1,0,0,1
533,1,36,7,85311.7,1,0,1,156731.91,89,14,17,1,0,0,1,0,0
553,1,41,9,110112.54,2,0,0,81898.81,24,13,11,4,1,0,1,1,0
520,0,42,6,0.0,2,1,1,34410.55,71,2,15,3,0,1,1,0,1
722,0,29,9,0.0,2,1,1,142033.07,71,6,0,3,0,1,1,0,1
475,0,45,0,134264.04,1,1,0,27822.99,56,7,14,4,0,1,1,0,0
490,1,31,3,145260.23,1,0,1,114066.77,71,1,6,2,1,1,0,0,1
804,1,33,7,76548.6,1,0,1,98453.45,60,6,16,2,1,1,1,0,1
850,1,36,7,0.0,1,1,1,40812.9,64,8,2,4,0,1,0,0,0
582,1,41,6,70349.48,2,0,1,178074.04,73,12,10,2,0,1,1,1,0
472,1,40,4,0.0,1,1,0,70154.22,12,5,5,6,1,0,0,0,1
465,0,51,8,122522.32,1,0,0,181297.65,60,14,5,4,1,1,1,0,0
556,0,61,2,117419.35,1,1,1,94153.83,16,12,14,4,0,0,0,0,0
834,0,49,2,131394.56,1,0,0,194365.76,30,7,6,3,0,0,1,0,0
660,0,61,5,155931.11,1,1,1,158338.39,82,10,10,1,0,0,0,0,1
776,0,32,4,109421.13,2,1,1,126517.46,48,6,16,4,1,1,0,1,0
829,0,27,9,112045.67,1,1,1,119708.21,27,4,17,4,1,0,1,1,0
637,0,39,9,137843.8,1,1,1,117622.8,13,7,18,6,1,1,1,1,0
550,1,38,2,103391.38,1,0,1,90878.13,98,10,7,2,0,1,1,1,0
776,0,37,2,103769.22,2,1,0,194099.12,69,9,19,2,1,1,1,1,0
698,1,44,10,116363.37,2,1,0,198059.16,23,10,7,6,0,0,0,1,0
585,1,36,5,146050.97,2,0,0,86424.57,18,10,10,4,1,1,1,1,0
788,0,33,5,0.0,2,0,0,116978.19,99,13,2,2,1,1,1,0,0
655,1,41,8,125561.97,1,0,0,164040.94,62,7,13,5,0,0,1,1,0
601,1,42,1,98495.72,1,1,0,40014.76,11,12,8,5,0,0,0,1,0
619,1,43,1,125211.92,1,1,1,113410.49,93,14,0,0,1,1,1,0,0
656,1,45,5,127864.4,1,1,0,87107.57,69,5,0,2,1,0,1,0,0
725,1,19,0,75888.2,1,0,0,45613.75,80,7,11,4,0,0,1,1,0
511,0,66,4,0.0,1,1,0,1643.11,53,3,10,3,0,1,1,0,1
614,1,51,4,40685.92,1,1,1,46775.28,17,2,0,6,0,1,0,0,0
742,1,35,5,136857.0,1,0,0,84509.57,56,11,19,2,1,0,0,1,0
687,0,27,9,152328.88,2,0,0,126494.82,44,5,11,3,0,0,0,1,0
555,1,33,1,56084.69,2,0,0,178798.13,87,4,16,2,0,0,1,0,1
684,1,56,8,78707.16,1,1,1,99398.36,90,5,14,3,0,0,1,0,1
603,1,26,4,109166.37,1,1,1,92840.67,45,8,1,3,0,0,1,1,0
751,0,36,6,169831.46,2,1,1,27758.36,59,12,17,1,0,0,0,1,0
581,0,34,1,101633.04,1,1,0,110431.51,13,4,15,7,1,0,0,1,0
735,1,43,10,123180.01,2,1,1,196673.28,11,9,3,5,1,1,1,1,0
